Institution,Story Partner,Website,Image,Description,YouTube,Instagram,Facebook,Twitter,Tiktok
Auburn University,TRUE,https://auburn.edu/,auburn.jpg,"The community at Auburn University is a vibrant and inclusive network known as the Auburn Family, an enduring bond shared by students, faculty, staff, and alumni. United by a commitment to academic excellence, innovation, and service, the Auburn Family fosters a collaborative environment where leadership, research, and community engagement thrive. Auburn supports students in discovering their passions and equips them with the tools to make a meaningful impact in Alabama and around the world. Whether through hands-on learning, groundbreaking research, or rich campus traditions, students develop a strong sense of purpose and belonging that lasts a lifetime. The spirit of Auburn runs deep, shaping a culture of pride, support, and connection that extends far beyond graduation.",http://www.youtube.com/@AuburnU,auburnu,auburnu,auburnu,
Barnard College,TRUE,https://barnard.edu/admissions-aid,barnard.jpg,"Established as Columbia University’s sister college in 1889, Barnard College is a women’s college located in New York City in the Manhattan borough. Students learn to embrace the whole self through our empowering faculty and student services. Our community includes artists, scientists, poets, activists, and athletes bonded by a desire to create positive change. Through our Foundations Curriculum, we encourage students to explore and remain curious throughout their education. All students receive career guidance through Beyond Barnard, academic advisors, and comprehensive health and wellness services. Access Barnard provides students who identify as first-generation, low-income, and/or international with additional resources like peer mentoring, advising, a lending library, emergency funds, and more. All Barnard College students can take advantage of the resources at Columbia University.",www.youtube.com/barnardcollege,barnardadmissions,,,
Brown University,TRUE,https://admission.brown.edu/ ,brown.jpg,"Brown is a leading research university distinct for its student-centered learning and deep sense of purpose. Brown’s students are driven by the idea that their work will have an impact in the world. The spirit of the Open Curriculum infuses every aspect of the undergraduate experience. Brown is a place where rigorous scholarship, complex problem-solving and service to the public good are defined by intense collaboration, intellectual discovery and working in ways that transcend traditional boundaries. We actively seek students from all income groups and have need-blind admissions, which means that an applicant’s ability or inability to pay the cost of tuition does not determine our admission decision. Our generous financial aid ensures that financial considerations do not prevent talented students from choosing Brown.",https://www.youtube.com/brownuniversity,brownuadmission,brownuadmission,BrownUniversity,
California Institute of Technology,TRUE,admissions.caltech.edu,caltech.jpg,"The California Institute of Technology (Caltech) is located in Pasadena, CA, and marshals some of the world’s brightest minds and most innovative tools to address fundamental scientific questions and pressing societal challenges. We are a small, collaborative community defined by our passion for STEM. Caltech has one of the nation’s lowest student-to-faculty ratios (3:1), with 300 faculty members, and the approximately 1,000 undergraduates have access to hands-on research as early as their first year.

While Caltech students all share a common passion for STEM, they go all-in on their passions beyond the laboratory as well, through nine different residential communities, over 100 different student clubs, and 16 NCAA Division III teams.",,caltechadmissions,,,
Case Western Reserve University,TRUE,https://case.edu/admission/,case.jpg,"At Case Western Reserve University, we're a community of innovators, knowledge-seekers and groundbreakers. As a leading national research university located in the most concentrated square mile of arts, cultural, medical and educational institutions in the U.S. and within walking distance of three major hospitals, we offer ample opportunities for you to excel. Students benefit from research experiences with faculty, top-notch internship, co-op and study abroad opportunities.

With programs spanning the arts and sciences, engineering, health sciences, law, management, and social work, our research and educational opportunities allow our students, faculty, staff and alumni to tackle today’s toughest problems—and transform the future.",https://www.youtube.com/user/case,cwruadmission,,,
Claremont McKenna College,TRUE,cmc.edu,cmc.jpg,"Claremont McKenna College is a liberal arts college located in Claremont, California, less than an hour east of the city of Los Angeles. We’re a member of the Claremont Colleges consortium which consists of five undergraduate liberal arts colleges and two graduate schools. CMC has just under 1,400 students, and was founded in 1946 with a mission to prepare our students for thoughtful and productive lives and responsible leadership in business, government, and the professions. We focus on learning for the sake of doing, leadership skills development, and public policy understanding, which sets our students up for success as leaders in their respective careers.",,cmcadmission,,,
Colby College,TRUE,https://afa.colby.edu/,colby.jpg,"Founded in 1813, Colby College is one of the nation's premier liberal arts colleges, serving only undergraduates. Colby’s academic programs are anchored to the world’s most complex challenges and the campus experience is built on a culture of shared success. Colby was the first college to pioneer a 4-1-4 academic calendar, where students typically take four classes in the spring and fall, and pursue one intensive academic or career experience during the month of January, called Jan Plan. Colby is a four-year residential college with over 125 active clubs and organizations. There are no fees to apply, no extra essays or supplements to submit, and interviews are not offered. As part of the Colby Commitment, Colby meets 100 percent of demonstrated financial need for all admitted students, without including loans in their financial aid packages.",,thiscolbylife ,,,
College of Holy Cross,TRUE,https://www.holycross.edu/admissions-aid,holycross.jpg,"The College of the Holy Cross is a small, liberal arts, undergraduate only, Catholic, Jesuit institution. To put it simply, we are a small community that values the idea of our students broadening their horizons and preparing them for life after college. Our community wants to see everyone pursue their passions, explore newfound interests, and ultimately succeed. Holy Cross is dedicated to helping students bring what they learn in the classroom and apply it in real-world contexts. The student body is committed to making everyone feel that they belong – There is something for everyone on our campus, and there’s no shortage of student led programs. Holy Cross is located in Worcester, the second largest city in New England, which has much to offer its residents. Holy Cross is committed to creating relationships between students and the surrounding Worcester community.",,collegeoftheholycross,,,
Columbia University,TRUE,https://undergrad.admissions.columbia.edu/,columbia.jpg,"Columbia has been a place of deep intellectual curiosity and academic inquiry since 1754. Across departments, schools, centers and institutes, Columbians are driven by a passion for discovery, working in the service of improving human understanding and the advancement of our global society. 6,700+ undergrads come from a dazzling array of ethnic, social, economic, cultural, religious and geographic backgrounds, including more than 140 countries. Located in one of the world's most international cities, Columbia University offers an exceptional foundation in the liberal arts, sciences, and engineering across more than 100 areas of study. Easy access to the cultural, professional and recreational resources of New York City influences many aspects of life on our residential campus. Every day in New York offers glimpses into new worlds, each one an opportunity to gain new perspectives and continually re-shape who you are",https://www.youtube.com/columbiaadmissions,columbiaadmissions,,,
Cornell University,TRUE,https://www.cornell.edu/,cornell.jpg,"At Cornell University, students can explore their interests and grow while being supported by a diverse and welcoming community. The atmosphere on campus is energetic and collaborative, offering a mix of challenging classes, lots of student activities, and a strong focus on doing the greatest good. Cornellians get to connect with others while diving into academic and real-world issues, with plenty of opportunities to learn, lead, and have fun along the way. Cornell's main campus is in Ithaca, NY. Nestled in New York's Finger Lake region, Ithaca is a unique college town that is consistently ranked as one of the most beautiful in the nation.",https://www.youtube.com/@cornelluao,cornelladmissions,,,
